State,Action,Reward,Next_State
1,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,10,2.0
2,positive,10,2.0
2,neutral,10,2.0
2,positive,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,negative,10,2.0
2,negative,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,-1,1.0
1,neutral,10,2.0
2,negative,-1,1.0
1,positive,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,100,4.0
4,neutral,-1,1.0
1,neutral,10,2.0
2,negative,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,positive,10,2.0
2,neutral,-1,1.0
1,positive,-1,1.0
1,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,negative,100,4.0
4,negative,10,2.0
2,neutral,10,2.0
2,negative,10,2.0
2,negative,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,positive,10,2.0
2,neutral,100,4.0
4,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,negative,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,-1,1.0
1,negative,25,3.0
3,neutral,10,2.0
2,positive,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,neutral,-1,1.0
1,neutral,100,4.0
4,neutral,25,3.0
3,neutral,100,4.0
4,neutral,10,2.0
2,neutral,100,4.0
4,neutral,-1,1.0
1,neutral,-1,1.0
1,neutral,25,3.0
3,neutral,100,4.0
4,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,positive,25,3.0
3,neutral,25,3.0
3,negative,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,negative,10,2.0
2,neutral,10,2.0
2,positive,10,2.0
2,neutral,-1,1.0
1,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,negative,100,4.0
4,negative,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,neutral,100,4.0
4,neutral,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,negative,100,4.0
4,neutral,25,3.0
3,neutral,25,3.0
3,positive,-1,1.0
1,neutral,10,2.0
2,neutral,100,4.0
4,negative,100,4.0
4,negative,-1,1.0
1,positive,10,2.0
2,positive,100,4.0
4,negative,-1,1.0
1,neutral,100,4.0
4,negative,100,4.0
4,positive,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,neutral,100,4.0
4,negative,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,neutral,10,2.0
2,negative,100,4.0
4,neutral,100,4.0
4,negative,-1,1.0
1,negative,-1,1.0
1,negative,10,2.0
2,neutral,100,4.0
4,neutral,100,4.0
4,neutral,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,negative,-1,1.0
1,negative,10,2.0
2,positive,10,2.0
2,neutral,10,2.0
2,positive,25,3.0
3,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,negative,-1,1.0
1,negative,25,3.0
3,negative,-1,1.0
1,neutral,10,2.0
2,positive,10,2.0
2,negative,100,4.0
4,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,positive,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,negative,10,2.0
2,positive,-1,1.0
1,neutral,25,3.0
3,neutral,100,4.0
4,positive,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,negative,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,neutral,25,3.0
3,negative,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,negative,100,4.0
4,negative,10,2.0
2,negative,100,4.0
4,negative,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,neutral,10,2.0
2,neutral,100,4.0
4,neutral,100,4.0
4,positive,10,2.0
2,neutral,25,3.0
3,neutral,100,4.0
4,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,10,2.0
2,neutral,100,4.0
4,negative,10,2.0
2,negative,100,4.0
4,neutral,-1,1.0
1,neutral,100,4.0
4,neutral,100,4.0
4,negative,100,4.0
4,negative,25,3.0
3,neutral,25,3.0
3,negative,10,2.0
2,neutral,25,3.0
3,neutral,100,4.0
4,neutral,100,4.0
4,negative,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,100,4.0
4,neutral,25,3.0
3,negative,100,4.0
4,negative,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,negative,25,3.0
3,negative,25,3.0
3,negative,10,2.0
2,neutral,10,2.0
2,positive,25,3.0
3,negative,10,2.0
2,negative,25,3.0
3,neutral,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,negative,100,4.0
4,neutral,100,4.0
4,positive,10,2.0
2,neutral,100,4.0
4,neutral,25,3.0
3,neutral,10,2.0
2,negative,-1,1.0
1,neutral,10,2.0
2,negative,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,negative,10,2.0
2,neutral,10,2.0
2,negative,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,negative,100,4.0
4,neutral,25,3.0
3,neutral,10,2.0
2,neutral,100,4.0
4,neutral,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,negative,10,2.0
2,negative,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,neutral,100,4.0
4,neutral,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,neutral,10,2.0
2,neutral,100,4.0
4,neutral,25,3.0
3,negative,100,4.0
4,negative,100,4.0
4,neutral,25,3.0
3,neutral,25,3.0
3,positive,10,2.0
2,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,100,4.0
4,neutral,100,4.0
4,negative,-1,1.0
1,neutral,25,3.0
3,neutral,-1,1.0
1,negative,10,2.0
2,negative,25,3.0
3,negative,10,2.0
2,neutral,-1,1.0
1,negative,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,negative,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,neutral,10,2.0
2,negative,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,negative,10,2.0
2,positive,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,positive,10,2.0
2,neutral,10,2.0
2,negative,10,2.0
2,neutral,10,2.0
2,positive,-1,1.0
1,negative,10,2.0
2,positive,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,100,4.0
4,neutral,-1,1.0
1,neutral,10,2.0
2,negative,10,2.0
2,neutral,10,2.0
2,negative,10,2.0
2,neutral,-1,1.0
1,negative,25,3.0
3,neutral,25,3.0
3,positive,25,3.0
3,neutral,25,3.0
3,negative,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,-1,1.0
1,positive,-1,1.0
1,negative,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,-1,1.0
1,negative,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,negative,25,3.0
3,positive,10,2.0
2,negative,100,4.0
4,negative,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,negative,10,2.0
2,neutral,10,2.0
2,neutral,100,4.0
4,neutral,100,4.0
4,neutral,100,4.0
4,neutral,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,neutral,10,2.0
2,neutral,10,2.0
2,negative,10,2.0
2,neutral,25,3.0
3,positive,-1,1.0
1,neutral,-1,1.0
1,negative,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,negative,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,neutral,100,4.0
4,negative,25,3.0
3,neutral,10,2.0
2,neutral,100,4.0
4,neutral,100,4.0
4,negative,100,4.0
4,positive,25,3.0
3,neutral,100,4.0
4,neutral,10,2.0
2,neutral,25,3.0
3,neutral,100,4.0
4,neutral,100,4.0
4,neutral,100,4.0
4,positive,-1,1.0
1,neutral,25,3.0
3,neutral,100,4.0
4,negative,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,100,4.0
4,negative,10,2.0
2,neutral,-1,1.0
1,neutral,25,3.0
3,positive,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,positive,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,25,3.0
3,neutral,10,2.0
2,positive,-1,1.0
1,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,100,4.0
4,neutral,25,3.0
3,positive,25,3.0
3,neutral,10,2.0
2,positive,25,3.0
3,neutral,-1,1.0
1,positive,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,positive,10,2.0
2,neutral,-1,1.0
1,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,negative,100,4.0
4,neutral,25,3.0
3,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,neutral,25,3.0
3,negative,-1,1.0
1,positive,25,3.0
3,negative,-1,1.0
1,neutral,25,3.0
3,neutral,10,2.0
2,positive,10,2.0
2,neutral,10,2.0
2,positive,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,negative,10,2.0
2,neutral,10,2.0
2,positive,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,negative,25,3.0
3,positive,10,2.0
2,negative,25,3.0
3,negative,10,2.0
2,negative,10,2.0
2,negative,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,positive,25,3.0
3,negative,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,positive,-1,1.0
1,neutral,10,2.0
2,negative,100,4.0
4,positive,10,2.0
2,neutral,10,2.0
2,negative,100,4.0
4,neutral,100,4.0
4,neutral,10,2.0
2,negative,-1,1.0
1,negative,-1,1.0
1,negative,-1,1.0
1,neutral,10,2.0
2,negative,-1,1.0
1,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,positive,10,2.0
2,neutral,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,negative,10,2.0
2,neutral,100,4.0
4,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,negative,10,2.0
2,negative,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,positive,-1,1.0
1,neutral,10,2.0
2,neutral,100,4.0
4,neutral,100,4.0
4,negative,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,negative,10,2.0
2,negative,25,3.0
3,negative,100,4.0
4,positive,10,2.0
2,neutral,25,3.0
3,negative,10,2.0
2,neutral,100,4.0
4,neutral,100,4.0
4,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,-1,1.0
1,neutral,100,4.0
4,neutral,-1,1.0
1,neutral,100,4.0
4,neutral,-1,1.0
1,neutral,100,4.0
4,positive,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,positive,10,2.0
2,negative,100,4.0
4,positive,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,positive,-1,1.0
1,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,neutral,10,2.0
2,positive,10,2.0
2,positive,100,4.0
4,negative,25,3.0
3,neutral,25,3.0
3,positive,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,negative,10,2.0
2,negative,10,2.0
2,negative,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,neutral,10,2.0
2,negative,-1,1.0
1,negative,25,3.0
3,neutral,10,2.0
2,positive,-1,1.0
1,positive,-1,1.0
1,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,negative,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,negative,10,2.0
2,neutral,-1,1.0
1,neutral,10,2.0
2,negative,10,2.0
2,neutral,10,2.0
2,negative,10,2.0
2,negative,25,3.0
3,negative,10,2.0
2,neutral,10,2.0
2,negative,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,neutral,-1,1.0
1,negative,-1,1.0
1,negative,10,2.0
2,neutral,100,4.0
4,neutral,10,2.0
2,neutral,100,4.0
4,neutral,-1,1.0
1,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,negative,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,negative,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,negative,25,3.0
3,neutral,25,3.0
3,positive,25,3.0
3,neutral,10,2.0
2,negative,-1,1.0
1,positive,-1,1.0
1,negative,10,2.0
2,neutral,10,2.0
2,neutral,100,4.0
4,neutral,100,4.0
4,neutral,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,negative,10,2.0
2,positive,10,2.0
2,neutral,-1,1.0
1,negative,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,negative,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,positive,10,2.0
2,neutral,25,3.0
3,positive,10,2.0
2,neutral,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,negative,10,2.0
2,neutral,100,4.0
4,positive,100,4.0
4,neutral,25,3.0
3,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,negative,100,4.0
4,neutral,-1,1.0
1,neutral,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,positive,10,2.0
2,positive,10,2.0
2,negative,10,2.0
2,neutral,25,3.0
3,negative,10,2.0
2,neutral,25,3.0
3,negative,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,positive,-1,1.0
1,neutral,100,4.0
4,negative,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,positive,-1,1.0
1,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,positive,100,4.0
4,neutral,100,4.0
4,neutral,10,2.0
2,neutral,-1,1.0
1,negative,10,2.0
2,positive,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,neutral,10,2.0
2,negative,-1,1.0
1,negative,10,2.0
2,negative,25,3.0
3,neutral,25,3.0
3,negative,25,3.0
3,positive,10,2.0
2,negative,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,negative,-1,1.0
1,neutral,10,2.0
2,negative,-1,1.0
1,negative,10,2.0
2,neutral,25,3.0
3,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,10,2.0
2,neutral,100,4.0
4,neutral,25,3.0
3,negative,10,2.0
2,positive,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,25,3.0
3,negative,-1,1.0
1,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,negative,10,2.0
2,negative,-1,1.0
1,positive,-1,1.0
1,neutral,10,2.0
2,positive,10,2.0
2,neutral,100,4.0
4,negative,100,4.0
4,neutral,25,3.0
3,positive,-1,1.0
1,positive,-1,1.0
1,positive,-1,1.0
1,neutral,100,4.0
4,negative,10,2.0
2,negative,25,3.0
3,neutral,-1,1.0
1,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,negative,10,2.0
2,negative,10,2.0
2,neutral,-1,1.0
1,negative,10,2.0
2,negative,10,2.0
2,negative,25,3.0
3,negative,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,positive,10,2.0
2,positive,10,2.0
2,positive,10,2.0
2,negative,-1,1.0
1,negative,10,2.0
2,positive,25,3.0
3,negative,-1,1.0
1,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,negative,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,100,4.0
4,neutral,-1,1.0
1,neutral,10,2.0
2,negative,10,2.0
2,negative,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,negative,-1,1.0
1,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,-1,1.0
1,negative,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,negative,-1,1.0
1,negative,10,2.0
2,negative,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,positive,-1,1.0
1,negative,100,4.0
4,neutral,100,4.0
4,negative,10,2.0
2,neutral,25,3.0
3,neutral,100,4.0
4,positive,10,2.0
2,positive,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,negative,100,4.0
4,neutral,100,4.0
4,neutral,10,2.0
2,neutral,-1,1.0
1,positive,10,2.0
2,neutral,25,3.0
3,positive,10,2.0
2,neutral,100,4.0
4,neutral,10,2.0
2,neutral,25,3.0
3,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,25,3.0
3,negative,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,negative,-1,1.0
1,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,-1,1.0
1,positive,-1,1.0
1,neutral,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,100,4.0
4,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,negative,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,100,4.0
4,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,negative,10,2.0
2,positive,10,2.0
2,negative,100,4.0
4,neutral,25,3.0
3,neutral,25,3.0
3,negative,-1,1.0
1,neutral,-1,1.0
1,neutral,-1,1.0
1,negative,100,4.0
4,negative,100,4.0
4,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,10,2.0
2,negative,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,negative,100,4.0
4,positive,25,3.0
3,neutral,100,4.0
4,positive,10,2.0
2,neutral,-1,1.0
1,neutral,25,3.0
3,neutral,10,2.0
2,positive,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,-1,1.0
1,neutral,25,3.0
3,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,-1,1.0
1,neutral,-1,1.0
1,neutral,-1,1.0
1,neutral,10,2.0
2,neutral,25,3.0
3,neutral,-1,1.0
1,neutral,-1,1.0
1,negative,10,2.0
2,negative,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,negative,10,2.0
2,neutral,25,3.0
3,negative,10,2.0
2,neutral,-1,1.0
1,neutral,100,4.0
4,neutral,-1,1.0
1,neutral,25,3.0
3,negative,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,negative,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,negative,25,3.0
3,neutral,25,3.0
3,neutral,100,4.0
4,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,100,4.0
4,neutral,100,4.0
4,neutral,10,2.0
2,neutral,10,2.0
2,positive,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,neutral,10,2.0
2,positive,25,3.0
3,negative,25,3.0
3,negative,10,2.0
2,positive,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,neutral,25,3.0
3,positive,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,positive,10,2.0
2,negative,-1,1.0
1,negative,25,3.0
3,neutral,-1,1.0
1,neutral,10,2.0
2,positive,10,2.0
2,neutral,100,4.0
4,neutral,25,3.0
3,neutral,100,4.0
4,positive,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,negative,10,2.0
2,negative,10,2.0
2,neutral,25,3.0
3,negative,25,3.0
3,neutral,10,2.0
2,negative,25,3.0
3,neutral,100,4.0
4,neutral,100,4.0
4,negative,25,3.0
3,neutral,25,3.0
3,negative,25,3.0
3,neutral,100,4.0
4,positive,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,negative,-1,1.0
1,negative,10,2.0
2,neutral,-1,1.0
1,negative,-1,1.0
1,neutral,-1,1.0
1,positive,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,negative,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,positive,-1,1.0
1,neutral,25,3.0
3,neutral,25,3.0
3,neutral,25,3.0
3,positive,-1,1.0
1,neutral,100,4.0
4,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,neutral,100,4.0
4,positive,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,10,2.0
2,neutral,10,2.0
2,neutral,100,4.0
4,negative,25,3.0
3,neutral,-1,1.0
1,neutral,25,3.0
3,neutral,10,2.0
2,neutral,25,3.0
3,neutral,25,3.0
3,positive,10,2.0
2,negative,10,2.0
2,neutral,10,2.0
2,neutral,-1,1.0
1,positive,-1,1.0
1,neutral,10,2.0
2,negative,10,2.0
2,neutral,10,2.0
2,neutral,25,3.0
